time_s,cx,cy,cz,theta,FB,FB_group,LR,height,spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone
14.06,0.0,0.9999999178653887,1.2636094020656367e-08,1.5707963267948966,0.9999999178653887,0.999999924183436,0.0,2.5272188041312738e-08,0.00040530138830599576,0.0,0.9999999178653887,1.2636094020656367e-08,0.9999999178824658,-3.292910388807968e-09,front_center_mid
14.07,0.0,0.9999999178339146,1.2640936186894612e-08,1.5707963267948966,0.9999999178339146,0.9999999241543829,0.0,2.5281872373789227e-08,0.000405379036851403,0.0,0.9999999178339146,1.2640936186894612e-08,0.9999999178567922,-1.596933696390579e-09,front_center_mid
14.08,0.0,0.9999999178262303,1.2642118414290397e-08,1.5707963267948966,0.9999999178262303,0.9999999241472897,0.0,2.5284236828580797e-08,0.00040539799268548876,0.0,0.9999999178262303,1.2642118414290397e-08,0.9999999178505271,4.037326029049382e-10,front_center_mid
14.09,0.0,0.9999999178438148,1.2639413151217631e-08,1.5707963267948966,0.9999999178438148,0.9999999241635212,0.0,2.5278826302435266e-08,0.00040535461519074337,0.0,0.9999999178438148,1.2639413151217631e-08,0.9999999178648669,2.3273327709461e-09,front_center_mid
14.1,0.0,0.9999999178832867,1.2633340536595581e-08,1.5707963267948966,0.9999999178832867,0.9999999241999568,0.0,2.5266681073191165e-08,0.0004052572270459672,0.0,0.9999999178832867,1.2633340536595581e-08,0.9999999178970738,3.8070324670513855e-09,front_center_mid
14.11,0.0,0.9999999179370875,1.2625063467449347e-08,1.5707963267948966,0.9999999179370875,0.9999999242496191,0.0,2.5250126934898697e-08,0.0004051244477726908,0.0,0.9999999179370875,1.2625063467449347e-08,0.9999999179410075,4.561861999263783e-09,front_center_mid
14.120000000000001,0.0,0.9999999179949494,1.2616161626010799e-08,1.5707963267948966,0.9999999179949494,0.9999999243030304,0.0,2.52323232520216e-08,0.00040498159742653067,0.0,0.9999999179949494,1.2616161626010799e-08,0.999999917988311,4.450101398489892e-09,front_center_mid
14.13,0.0,0.9999999180458993,1.2608323193863592e-08,1.5707963267948966,0.9999999180458993,0.9999999243500608,0.0,2.5216646387727187e-08,0.0004048557701759755,0.0,0.9999999180458993,1.2608323193863592e-08,0.9999999180300095,3.495037592671224e-09,front_center_mid
14.14,0.0,0.9999999180803322,1.2603025845031283e-08,1.5707963267948966,0.9999999180803322,0.9999999243818449,0.0,2.520605169006257e-08,0.00040477071178105075,0.0,0.9999999180803322,1.2603025845031283e-08,0.9999999180582118,1.8791468381351706e-09,front_center_mid
14.15,0.0,0.9999999180917795,1.2601264701523688e-08,1.5707963267948966,0.9999999180917795,0.9999999243924118,0.0,2.520252940304738e-08,0.0004047424295179089,0.0,0.9999999180917795,1.2601264701523688e-08,0.9999999180675925,-9.144907053837414e-11,front_center_mid
14.16,0.0,0.9999999180780983,1.260336949371895e-08,1.5707963267948966,0.9999999180780983,0.999999924379783,0.0,2.5206738987437904e-08,0.0004047762302165278,0.0,0.9999999180780983,1.260336949371895e-08,0.9999999180563828,-2.0448087667546133e-09,front_center_mid
14.17,0.0,0.9999999180418531,1.260894565156273e-08,1.5707963267948966,0.9999999180418531,0.9999999243463261,0.0,2.5217891303125464e-08,0.00040486576367259334,0.0,0.9999999180418531,1.260894565156273e-08,0.9999999180266963,-3.612121712848193e-09,front_center_mid
