counter,timestamp,address,args,arg_types
88,11:30:56.123,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
89,11:30:57.119,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
90,11:30:57.119,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
91,11:30:57.119,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
92,11:30:57.119,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
93,11:30:58.116,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
94,11:30:58.116,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
95,11:30:58.116,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
96,11:30:58.116,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
97,11:30:59.127,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
98,11:30:59.127,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
99,11:30:59.127,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
100,11:30:59.127,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
101,11:31:00.126,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
102,11:31:00.126,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
103,11:31:00.126,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
104,11:31:00.126,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
105,11:31:01.121,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
106,11:31:01.121,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
107,11:31:01.122,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
108,11:31:01.122,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
109,11:31:02.121,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
110,11:31:02.122,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
111,11:31:02.122,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
112,11:31:02.122,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
