time_s,cx,cy,cz,theta,bed_FB,FB_group,bed_LR,bed_height,bed_spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone,obj_cx,obj_cy,obj_cz,obj_spread
0.23,0.0,-0.8216388673017929,8.504792315228801e-09,-1.5707963267948966,-0.8216386914159742,-0.9487468414635424,0.0,1.700932935297125e-08,0.5700098598240387,0.0,-0.8216388673017929,8.504792315228801e-09,-0.821447586632455,0.2979097970239985,rear_center_mid,0.0,-0.954001122132564,0.0,0.0
0.24,0.0,-0.8185755352644222,8.468844503760492e-09,-1.5707963267948966,-0.8185750873999763,-0.9452096103148268,0.0,1.693793552127207e-08,0.5744007681034614,0.0,-0.8185755352644222,8.468844503760492e-09,-0.818372913653851,0.3175827517455376,rear_center_mid,0.0,-0.9520012140417772,0.0,0.0
0.25,0.0,-0.8153094846038962,8.431305552402495e-09,-1.5707963267948966,-0.8153089380783665,-0.9414382998629952,0.0,1.6863304317400022e-08,0.5790274302119629,0.0,-0.8153094846038962,8.431305552402495e-09,-0.8150959315975442,0.33835788571423,rear_center_mid,0.0,-0.9500013059586145,0.0,0.0
0.26,0.0,-0.8118297964325965,8.393090831062672e-09,-1.5707963267948966,-0.8118292966260066,-0.9374203020625308,0.0,1.6787185282520768e-08,0.5838960720603855,0.0,-0.8118297964325965,8.393090831062672e-09,-0.8116057559395664,0.3602024800136771,rear_center_mid,0.0,-0.9480012730780816,0.0,0.0
0.27,0.0,-0.8081259743850135,8.35481607048361e-09,-1.5707963267948966,-0.808125703193616,-0.9331434967544608,0.0,1.6710757255081185e-08,0.5890112735043941,0.0,-0.8081259743850135,8.35481607048361e-09,-0.8078918819972707,0.3830815988384473,rear_center_mid,0.0,-0.9460013737225711,0.0,0.0
0.28,0.0,-0.8041879890119035,8.316664522225962e-09,-1.5707963267948966,-0.804188140547362,-0.9285963029283216,0.0,1.6634370182270705e-08,0.5943760505140235,0.0,-0.8041879890119035,8.316664522225962e-09,-0.8039441239627975,0.4069730929469051,rear_center_mid,0.0,-0.9440014347028719,0.0,0.0
0.29,0.0,-0.8000061655529441,8.278339922604228e-09,-1.5707963267948966,-0.7999361785573949,-0.9237675491331944,0.0,1.65558864292558e-08,0.6000805138235215,0.0,-0.8000061655529441,8.278339922604228e-09,-0.7997524201383326,0.4318782627602491,rear_center_mid,0.0,-0.9420014334780292,0.0,0.0
0.3,0.0,-0.7955706944315295,8.239098300113132e-09,-1.5707963267948966,-0.7952929556209294,-0.9186459082457752,0.0,1.6472387769532785e-08,0.6062038856400235,0.0,-0.7955706944315295,8.239098300113132e-09,-0.7953065587075925,0.450058886637128,rear_center_mid,0.0,-0.9400015204963779,0.0,0.0
0.31,0.0,-0.7908712773102723,8.197867068282331e-09,-1.5707963267948966,-0.7905107872151622,-0.9132194887704604,0.0,1.6387623391763693e-08,0.6124158744751972,0.0,-0.7908712773102723,8.197867068282331e-09,-0.79075124240559,0.4412658742216635,rear_center_mid,0.0,-0.9380015718182209,0.0,0.0
0.32,0.0,-0.7858966672313128,8.153425362489547e-09,-1.5707963267948966,-0.7860347885831117,-0.907475303839092,0.0,1.63093315746048e-08,0.6181591480635362,0.0,-0.7858966672313128,8.153425362489547e-09,-0.7864812412231592,0.3991550926807308,rear_center_mid,0.0,-0.9360016076806074,0.0,0.0
