time_s,x_lr,y_fb,z_height,gain_db,spread,width,height,depth,velocity_x,velocity_y,velocity_z,speed,accel,object_id,object_name,track_index
7.890000000000001,0.0,0.577960799050094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006999813967363,0.0,0.20006999813967363,0.013747517810802634,AO_100b,Object 11,
7.9,0.0,0.5799607488781632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999498280691697,0.0,0.19999498280691697,-0.007501533275666716,AO_100b,Object 11,
7.91,0.0,0.581960074126523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252483597734,0.0,0.19993252483597734,-0.006245797093962224,AO_100b,Object 11,
7.92,0.0,0.58396039905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003249234770148,0.0,0.20003249234770148,0.009996751172414164,AO_100b,Object 11,
7.930000000000001,0.0,0.5859607239734772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000324923477237,0.0,0.2000324923477237,2.220446049250313e-12,AO_100b,Object 11,
7.94,0.0,0.5879600491843487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108715387,0.0,0.19993252108715387,-0.009997126056981998,AO_100b,Object 11,
7.95,0.0,0.5899599989811445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999497967957414,0.0,0.19999497967957414,0.006245859242026697,AO_100b,Object 11,
7.96,0.0,0.5919606990313028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007000501582883,0.0,0.20007000501582883,0.0075025336254697095,AO_100b,Object 11,
7.97,0.0,0.5939600242421743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108715387,0.0,0.19993252108715387,-0.013748392867496406,AO_100b,Object 11,
7.98,0.0,0.595959598912289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199957467011469,0.0,0.199957467011469,0.002494592431512288,AO_100b,Object 11,
7.99,0.0,0.5979606740891285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010751768394508,0.0,0.20010751768394508,0.01500506724760875,AO_100b,Object 11,
8.0,0.0,0.5999599993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108715387,0.0,0.19993252108715387,-0.017499659679121038,AO_100b,Object 11,
8.01,0.0,0.6019593246045924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993253045924586,0.0,0.19993253045924586,9.37209199136646e-07,AO_100b,Object 11,
8.02,0.0,0.6039603997001874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010750955949952,0.0,0.20010750955949952,0.017497910025365826,AO_100b,Object 11,
8.03,0.0,0.6059599743578256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995746576381146,0.0,0.19995746576381146,-0.015004379568805959,AO_100b,Object 11,
8.040000000000001,0.0,0.6079592996436741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252858485633,0.0,0.19993252858485633,-0.0024937178955131145,AO_100b,Object 11,
8.05,0.0,0.6099599996500938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200070000641972,0.0,0.200070000641972,0.01374720571156729,AO_100b,Object 11,
8.06,0.0,0.6119599494781631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999498280692807,0.0,0.19999498280692807,-0.0075017835043933445,AO_100b,Object 11,
8.07,0.0,0.6139592747265231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252483599955,0.0,0.19993252483599955,-0.006245797092852001,AO_100b,Object 11,
8.08,0.0,0.6159595996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003248734768997,0.0,0.20003248734768997,0.009996251169042125,AO_100b,Object 11,
8.09,0.0,0.6179599245172446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003249172445559,0.0,0.20003249172445559,4.376765616598277e-07,AO_100b,Object 11,
8.1,0.0,0.6199592497843486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252671040018,0.0,0.19993252671040018,-0.009996501405540315,AO_100b,Object 11,
8.11,0.0,0.6219591995811443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999497967957414,0.0,0.19999497967957414,0.006245296917395393,AO_100b,Object 11,
8.120000000000001,0.0,0.6239598996313027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007000501583994,0.0,0.20007000501583994,0.0075025336265799325,AO_100b,Object 11,
8.13,0.0,0.6259592248421745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108717607,0.0,0.19993252108717607,-0.013748392866386183,AO_100b,Object 11,
8.14,0.0,0.6279587995122892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199957467011469,0.0,0.199957467011469,0.002494592429291842,AO_100b,Object 11,
8.15,0.0,0.6299598746891283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010751768391177,0.0,0.20010751768391177,0.01500506724427808,AO_100b,Object 11,
8.16,0.0,0.6319591999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108717607,0.0,0.19993252108717607,-0.017499659673569923,AO_100b,Object 11,
